Frequency (Hz)	Level (dB)
379.522705	-41.646484
380.195618	-41.648899
380.868530	-40.874668
381.541443	-41.144600
382.214355	-41.167606
382.887268	-41.471153
383.560181	-41.896358
384.233093	-41.612743
384.906006	-41.886555
385.578918	-42.071079
386.251831	-42.224270
386.924744	-42.846260
387.597656	-42.765377
388.270569	-42.267719
388.943481	-42.241688
389.616394	-42.693638
390.289307	-43.309082
390.962219	-43.627377
391.635132	-43.927242
392.308044	-43.925568
392.980957	-43.704388
393.653870	-44.175644
394.326782	-42.928226
394.999695	-42.321388
395.672607	-42.450085
396.345520	-42.343380
397.018433	-41.915924
397.691345	-42.348766
398.364258	-42.295547
399.037170	-41.911579
399.710083	-41.620953
400.382996	-41.167526
401.055908	-40.509369
401.728821	-40.069126
402.401733	-39.637978
403.074646	-40.314983
403.747559	-39.652180
404.420471	-38.600052
405.093384	-38.126762
405.766296	-37.855648
406.439209	-37.375053
407.112122	-36.834309
407.785034	-36.060329
408.457947	-35.671906
409.130859	-35.645565
409.803772	-34.655174
410.476685	-34.698963
411.149597	-34.901295
411.822510	-34.060108
412.495422	-33.131199
413.168335	-33.925449
413.841248	-32.600700
414.514160	-32.080959
415.187073	-33.793556
415.859985	-34.306377
416.532898	-33.932690
417.205811	-34.797623
417.878723	-37.009529
418.551636	-38.116535
419.224548	-38.021473
419.897461	-39.051819
420.570374	-39.710880
421.243286	-40.293808
421.916199	-40.523521
422.589111	-40.761147
423.262024	-41.139477
423.934937	-41.558971
424.607849	-41.254032
425.280762	-40.874798
425.953674	-40.605297
426.626587	-40.957851
427.299500	-41.690315
427.972412	-41.892220
428.645325	-42.022041
429.318237	-41.765972
429.991150	-42.084419
430.664062	-41.808033
431.336975	-42.113728
432.009888	-42.334503
432.682800	-42.712242
433.355713	-42.710934
434.028625	-42.197208
434.701538	-41.687412
435.374451	-41.597000
436.047363	-41.603413
436.720276	-41.679161
437.393188	-41.938194
438.066101	-41.979736
438.739014	-41.585629
439.411926	-41.363365
440.084839	-40.902779
440.757751	-40.463245
441.430664	-40.459446
442.103577	-40.754864
442.776489	-40.919388
443.449402	-40.584736
444.122314	-39.605797
444.795227	-39.374733
445.468140	-39.032291
446.141052	-38.719063
446.813965	-38.610516
447.486877	-38.816677
448.159790	-38.836662
448.832703	-38.057983
449.505615	-37.779747
450.178528	-38.051071
450.851440	-37.347164
451.524353	-37.166779
452.197266	-37.614590
452.870178	-37.054596
453.543091	-36.288033
454.216003	-35.512665
454.888916	-35.347034
455.561829	-35.563564
456.234741	-35.807098
456.907654	-35.956944
457.580566	-36.310841
458.253479	-35.780487
458.926392	-35.714115
459.599304	-36.095623
460.272217	-35.689774
460.945129	-35.499142
461.618042	-35.428864
462.290955	-34.496315
462.963867	-33.654209
463.636780	-33.852390
464.309692	-34.094868
464.982605	-34.532421
465.655518	-35.044613
466.328430	-34.711315
467.001343	-35.596882
467.674255	-35.371456
468.347168	-34.836689
469.020081	-35.065422
469.692993	-35.767574
470.365906	-35.578838
471.038818	-34.826694
471.711731	-34.657913
472.384644	-35.303677
473.057556	-35.462860
473.730469	-35.721611
474.403381	-35.444691
475.076294	-36.198654
475.749207	-35.845249
476.422119	-36.173191
477.095032	-36.240768
477.767944	-35.533928
478.440857	-35.140274
479.113770	-34.658409
479.786682	-34.896561
480.459595	-35.304298
481.132507	-34.701893
481.805420	-34.296627
482.478333	-33.772766
483.151245	-33.582344
483.824158	-32.897377
484.497070	-32.796497
485.169983	-33.196373
485.842896	-33.598049
486.515808	-33.473492
487.188721	-34.057388
487.861633	-34.558296
488.534546	-33.924103
489.207458	-33.699291
489.880371	-34.200222
490.553284	-34.199776
491.226196	-33.868649
491.899109	-34.215717
492.572021	-35.735222
493.244934	-35.946983
493.917847	-36.135120
494.590759	-36.341499
495.263672	-36.980179
495.936584	-37.828457
496.609497	-37.520943
497.282410	-37.292236
497.955322	-37.873878
498.628235	-38.101921
499.301147	-38.689774
499.974060	-39.671143
500.646973	-40.054100
501.319885	-40.293156
501.992798	-40.016792
502.665710	-39.467545
503.338623	-39.502541
504.011536	-39.814556
504.684448	-40.584499
505.357361	-41.032524
506.030273	-41.112919
506.703186	-41.125603
507.376099	-41.248714
508.049011	-41.223351
508.721924	-41.471981
509.394836	-41.460300
510.067749	-41.385338
510.740662	-41.979778
511.413574	-42.534805
512.086487	-42.069500
512.759399	-41.741592
513.432312	-42.189766
514.105225	-42.218056
514.778137	-42.047787
515.451050	-41.620613
516.123962	-41.227821
516.796875	-41.474445
517.469788	-40.589706
518.142700	-40.309921
518.815613	-41.434113
519.488525	-40.971668
520.161438	-39.743931
520.834351	-41.207214
521.507263	-41.967205
522.180176	-41.575020
522.853088	-41.602123
523.526001	-41.762196
524.198914	-41.971802
524.871826	-42.016041
525.544739	-41.144070
526.217651	-41.159313
526.890564	-41.069954
527.563477	-41.056389
528.236389	-40.962109
528.909302	-40.927303
529.582214	-40.783512
530.255127	-40.015991
530.928040	-40.375759
531.600952	-40.784702
532.273865	-40.864597
532.946777	-40.901501
533.619690	-39.846386
534.292603	-39.536449
534.965515	-39.180740
535.638428	-39.299831
536.311340	-39.654305
536.984253	-38.623123
